Zac Dalpe,0.053740,0.102379,0.253517,0.046436,0.220839,0.038830,0.284259
Mike Brown,0.104439,0.128663,0.159501,0.171908,0.167606,0.106574,0.161309
John McCarthy,0.054968,0.094813,0.168528,0.164155,0.233018,0.062391,0.222126
Dustin Jeffrey,0.114792,0.239352,0.262859,0.033797,0.118213,0.048892,0.182095
Shawn Matthias,0.026111,0.067864,0.217314,0.028606,0.221872,0.025924,0.412308
Justin Abdelkader,0.048999,0.084503,0.157354,0.210080,0.259851,0.056430,0.182783
Cody Hodgson,0.308715,0.333408,0.100542,0.032115,0.063271,0.085446,0.076503
Max Pacioretty,0.207620,0.221418,0.183211,0.080706,0.123031,0.061223,0.122791
Chris Stewart,0.552890,0.132297,0.098573,0.040917,0.064423,0.039614,0.071286
Tim Brent,0.080169,0.109703,0.160333,0.177614,0.207676,0.085614,0.178890
Daniel Paille,0.044250,0.145678,0.151068,0.055131,0.170959,0.235307,0.197607
Kyle Clifford,0.057068,0.098843,0.151796,0.268247,0.211193,0.062864,0.149989
Josh Bailey,0.020112,0.045986,0.029425,0.019885,0.028745,0.825371,0.030477
Jamie Benn,0.447908,0.162712,0.114323,0.055608,0.081154,0.054656,0.083639
Blair Jones,0.052379,0.103004,0.210395,0.059621,0.219719,0.053026,0.301856
Nick Spaling,0.039947,0.130683,0.209184,0.039364,0.186913,0.065487,0.328422
Kevin Porter,0.020771,0.050136,0.288415,0.027523,0.315963,0.016100,0.281092
Nathan Gerbe,0.083332,0.231931,0.349653,0.028782,0.109014,0.029805,0.167482
Tom Sestito,0.113782,0.124061,0.134977,0.259171,0.141401,0.097163,0.129444
Joe Pavelski,0.869670,0.051634,0.027407,0.007421,0.015407,0.010099,0.018362
David Jones,0.278285,0.183508,0.185637,0.050939,0.115552,0.053455,0.132625
James Neal,0.108637,0.293678,0.169361,0.078802,0.131784,0.095653,0.122085
Adam Henrique,0.083134,0.187070,0.234650,0.055022,0.157356,0.076508,0.206261
Joe Colborne,0.053674,0.089079,0.164740,0.155972,0.258682,0.061346,0.216508
D.J. King,0.073363,0.102374,0.134020,0.313480,0.157207,0.077177,0.142378
Darren Helm,0.042823,0.098119,0.204022,0.073870,0.314835,0.048933,0.217398
Jack Skille,0.089098,0.130364,0.225896,0.077071,0.205789,0.058870,0.212912
Torrey Mitchell,0.040399,0.104798,0.069465,0.045892,0.068281,0.599158,0.072007
Marc Pouliot,0.048298,0.233704,0.215969,0.047007,0.163936,0.080192,0.210895
Tom Wandell,0.082861,0.135024,0.132143,0.112531,0.141093,0.253965,0.142382
Derek Dorsett,0.053319,0.087507,0.094274,0.459959,0.115909,0.091993,0.097038
Bryan Little,0.075568,0.118285,0.085510,0.068816,0.084263,0.480353,0.087204
Teddy Purcell,0.044848,0.125606,0.106394,0.050703,0.112164,0.431378,0.128907
T.J. Hensick,0.122104,0.156118,0.206650,0.070728,0.167533,0.070586,0.206282
Tommy Wingels,0.048315,0.109813,0.163410,0.159823,0.265415,0.077727,0.175497
Tomas Fleischmann,0.706435,0.113940,0.062262,0.016584,0.034922,0.022864,0.042993
Tyler Kennedy,0.055879,0.110188,0.359774,0.037670,0.166056,0.027265,0.243169
David Backes,0.123066,0.154001,0.157786,0.190880,0.156872,0.084952,0.132443
Matt Beleskey,0.038303,0.077861,0.177381,0.169917,0.299066,0.035416,0.202056
